"Reference","Value","Footprint","Qty","Characteristics","MPN","Purchase Link","Supplier","Unit Price (€)"
"C1,C2","2.2u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","±10%, 25V, X5R","CL21A225KAFNNNE","https://www.digikey.es/en/products/detail/samsung-electro-mechanics/CL21A225KAFNNNE/3887421","DigiKey","0.11"
"C3,C4,C6,C7","4.7u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4","±20%, 50V, X5R","GRT21BR61H475ME13L","https://www.digikey.es/en/products/detail/murata-electronics/GRT21BR61H475ME13L/5416817","DigiKey","0.18"
"C5,C8","10u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","±10%, 25V, X5R","GRM21BR61E106KA73K","https://www.digikey.es/en/products/detail/murata-electronics/GRM21BR61E106KA73K/4905532","DigiKey","0.17"
"C9,C10,C11,C12,C13,C16,C18","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","7","±10%, 50V, X7R","CL21B104KBCNNNC","https://www.digikey.es/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661","DigiKey","0.09"
"C14,C15,C17","330n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3","±10%, 50V, X7R","CL21B334KBFNNNE","https://www.digikey.es/en/products/detail/samsung-electro-mechanics/CL21B334KBFNNNE/3886781","DigiKey","0.09"
"C19","150u","","1","±20%, 200V","EEU-ED2D151","https://www.digikey.es/en/products/detail/panasonic-electronic-components/EEU-ED2D151/1086745","DigiKey","1.73"
"C20","1u","","1","±10%, 250V DC, PP film","B32652A3105K000","https://www.digikey.es/en/products/detail/epcos-tdk-electronics/B32652A3105K000/11488152","DigiKey","1.16"
"C21","0.1u","","1","±5%, 630V DC, PP film","B32642B6104J","https://www.digikey.es/en/products/detail/epcos-tdk-electronics/B32642B6104J/5414338","DigiKey","1.07"
"D1,D2","SMF13A","EDM_Arc_Generator_Library:D_SOD-123FL","2","","SMF13A","https://www.digikey.es/en/products/detail/littelfuse-inc/SMF13A/3672395","DigiKey","0.41"
"D4,D9","5.0SMDJ140CA","","2","","5.0SMDJ140CA","https://www.digikey.es/en/products/detail/littelfuse-inc/5-0SMDJ140CA/11506374","DigiKey","1.68"
"D5,D8","AS3D020065A","EDM_Arc_Generator_Library:TO-220-2-MOD","2","","AS3D020065A","https://www.digikey.es/en/products/detail/anbon-semiconductor-int-l-limited/AS3D020065A/16708468","DigiKey","4.05"
"D6,D10","BZT52-B17S","Diode_SMD:D_SOD-323_HandSoldering","2","","BZT52-B17S","https://www.digikey.es/en/products/detail/panjit-international-inc/BZT52-B17S-R1-00001/15796386","DigiKey","0.22"
"D11","BAS316,115","Diode_SMD:D_SOD-323_HandSoldering","1","","BAS316,115","https://www.digikey.es/en/products/detail/nexperia-usa-inc/BAS316-115/1232076","DigiKey","0.13"
"J1,J2","MX2.54_8","EDM_Arc_Generator_Library:MX2.54_8","2","","MX2.54_8","https://www.aliexpress.com/item/1005004362274135.html","AliExpress","0.12"
"J3","OQ0254510000G","EDM_Arc_Generator_Library:OQ0254510000G","1","","OQ0254510000G","https://www.digikey.es/en/products/detail/amphenol-anytek/OQ0254510000G/2261258","DigiKey","0.56"
"J4","B2B-XH-A","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1","","B2B-XH-A","https://www.digikey.es/en/products/detail/jst-sales-america-inc/b2b-xh-a/1651045","DigiKey","0.14"
"J5,J7","1868076","EDM_Arc_Generator_Library:1868076","2","","1868076","https://www.digikey.es/en/products/detail/phoenix-contact/1868076/2511066","DigiKey","1.58"
"J6","VP0265540000G","EDM_Arc_Generator_Library:VP0265540000G","1","","VP0265540000G","https://www.digikey.es/en/products/detail/amphenol-anytek/VP0265540000G/4957847","DigiKey","2.37"
"L1,L2","6.8u","Inductor_SMD:L_1210_3225Metric_Pad1.42x2.65mm_HandSolder","2","620mA, 120mOhm","LBC3225T6R8MR","https://www.digikey.es/en/products/detail/taiyo-yuden/LBC3225T6R8MR/2230218","DigiKey","0.15"
"Q1,Q2","UJ4C075033K3S","EDM_Arc_Generator_Library:TO-247-3L-MOD","2","","UJ4C075033K3S","https://www.digikey.es/en/products/detail/qorvo/UJ4C075033K3S/14825326","DigiKey","9.8"
